lat,lon
53.6185,8.154666666666667
53.61854843724756,8.154646354729442
53.61902630753042,8.154404457490877
53.61948982435098,8.154093427056026
53.61993546006662,8.153715629189694
53.62035982312168,8.153273937966345
53.62075968385941,8.152771713919785
53.62113199910127,8.152212778484957
53.62147393530741,8.151601384925298
53.621782890141326,8.15094218596734
53.62205651227514,8.15024019838796
53.622292719284445,8.149500764824452
53.62248971349659,8.148729513097972
53.62264599567175,8.147932313360624
53.622760376413055,8.14711523339303
53.62283198521832,8.146284492393084
53.62295033618056,8.142935795505428
53.650357,8.10777
53.68030875480012,8.086698287514047
53.77008191814815,8.046025325767197
